true,predict
3.0,2.7019344179945817
3.0,2.6894375024828183
3.0,2.875289142770899
2.0,2.701489213467603
4.0,3.2774671618901166
4.0,2.93114705297636
3.0,3.099746382525422
3.0,2.4582935962401296
4.0,2.675399109357389
3.0,2.7070330711002626
4.0,3.626635390643028
1.0,2.2441389768199724
4.0,3.6015167171494453
3.0,2.710013599822968
1.0,3.330844199885566
3.0,2.9000579710552374
3.0,3.0
3.0,3.0619137287746474
4.0,2.7131081635547956
1.0,1.7091326726497766
4.0,3.9005745763556674
4.0,2.8992316756063437
4.0,4.0
4.0,2.7141852455767563
3.0,2.854212884145596
2.0,3.26179473992003
3.0,2.4657162882563806
3.0,2.70713747334834
4.0,3.8888705580996135
4.0,3.0614442087021225
4.0,2.7137768896511956
4.0,3.004102289757097
3.0,2.709191655638344
3.0,2.8927575559892373
3.0,2.91634467075649
1.0,2.6988717788915335
1.0,2.7037663056837244
3.0,2.875563778682627
1.0,2.6954222335027196
3.0,3.3100129389579194
3.0,2.9999408897142463
1.0,2.7010621019946215
3.0,3.397199656658011
3.0,3.397329619207322
3.0,3.0
3.0,2.92914886925537
2.0,2.7020515126005376
4.0,3.8248994478026774
2.0,2.701489213467603
2.0,2.7000555375083644
2.0,2.699609478335236
3.0,2.4846921545509826
2.0,2.7023597605375826
1.0,1.0
3.0,2.4830941839991936
3.0,2.705887340526625
3.0,3.597283859704397
4.0,3.8131221120397574
4.0,4.0
4.0,3.501853621329953
3.0,3.2308421221701593
3.0,2.706632261492119
4.0,3.2285532755364312
3.0,2.7096204937710797
3.0,2.7037663056837244
3.0,2.7027048595748364
2.0,2.771039317369377
3.0,2.819868089104708
1.0,1.6857290302775767
3.0,2.706153008057714
3.0,2.7092964472464427
3.0,2.7065843921181623
3.0,2.7056077192421775
3.0,2.706270890168247
3.0,2.7066962376686496
4.0,2.715440492653823
4.0,3.858473321124829
3.0,3.0000005767360234
4.0,2.7112235930309887
1.0,2.7044876241501643
1.0,1.284557289827697
1.0,2.05156901374375
3.0,2.9997420288017103
2.0,2.373270005909396
1.0,2.7005381327999323
3.0,2.8390934078327192
1.0,2.5884931099605213
3.0,2.899603880553083
2.0,2.7807071115559627
1.0,1.2839634606429229
1.0,1.0840012720170702
1.0,2.7259798638896804
1.0,2.678457747118389
2.0,2.552022353756702
3.0,3.1420402615551373
4.0,2.724347985200989
4.0,3.131784608792825
